onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
1596	6	266.0	74	2	D	0	3.0	3	True	3	8	2	1	1/8	True	-3	89	89	89	89a	5	133	False	True				False	200	V	c	i		V		V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
1602	6	267.0	48	0	C	0	1.0	1	True	3	8	3	1	1/8	True	-3	90	90	90	90a	3	267/2	False	True				False	201	i	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		0	0	0	0	0	C	C	C	C	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
1602	6	267.0	55	1	G	0	1.0	1	True	3	8	3	1	1/8	False	-3	90	90	90	90a	3	267/2	False	True				False	201	i	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		0	0	0	0	0	C	C	C	C	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
1602	6	267.0	72	0	C	0	1.0	1	True	3	8	2	2	1/8	True	-3	90	90	90	90a	5	267/2	False	True				False	201	i	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		0	0	0	0	0	C	C	C	C	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
1602	3	267.0	75	-3	E	-1	1.0	1	True	3	8	2	1	1/16	True	-3	90	90	90	90a	5	267/2	False	True				False	201	i	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		0	0	0	0	0	C	C	C	C	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
1605	3	267.5	79	1	G	0	1.5	0	False	3	8	2	1	1/16	True	-3	90	90	90	90a	5	535/4	False	False				False	201	i	c	i		i		i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		0	0	0	0	0	C	C	C	C	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
1608	6	268.0	50	2	D	0	2.0	2	True	3	8	3	1	1/8	True	-3	90	90	90	90a	3	134	False	True				False	202	#viio6	c	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		0	0	0	5	2	B	D	C	C	diminished triad	1	True	False	True	True	True	2	2	2	2	True	False	True
1608	6	268.0	53	-1	F	0	2.0	2	True	3	8	3	1	1/8	True	-3	90	90	90	90a	3	134	False	True				False	202	#viio6	c	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		0	0	0	5	2	B	D	C	C	diminished triad	1	True	False	True	True	True	-1	-1	-1	4	True	False	False
1608	6	268.0	65	-1	F	0	2.0	2	True	3	8	2	2	1/8	True	-3	90	90	90	90a	4	134	False	True				False	202	#viio6	c	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		0	0	0	5	2	B	D	C	C	diminished triad	1	True	False	True	True	True	-1	-1	-1	4	True	False	False
1608	3	268.0	71	5	B	0	2.0	2	True	3	8	2	1	1/16	True	-3	90	90	90	90a	4	134	False	True				False	202	#viio6	c	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		0	0	0	5	2	B	D	C	C	diminished triad	1	True	False	True	True	True	5	5	5	#7	True	True	False
1611	3	268.5	74	2	D	0	2.5	0	False	3	8	2	1	1/16	True	-3	90	90	90	90a	5	537/4	False	False				False	202	#viio6	c	i		#viio6		#vii	o	6			o	True	True	(2, -1, 5)	()	5	2	minor	minor	i	i, minor	#vii		i	i	True	#viio6	#viio6, minor		#viio6, minor		#vii	viio	#7		0	0	0	5	2	B	D	C	C	diminished triad	1	True	False	True	True	True	2	2	2	2	True	False	True
