onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
866	2	216.5	79	1	G	0	3.0	3	True	3	4	1	1	1/8	True	1	46	62	44	44a	5	433/2	False	False					False	127		vi.VI	G	vi		VI	VI					M	False	True	(-4, 0, -3)	()	-4	-4	major	minor	vi	vi, major	VI		vi	vi	True	VI	VI, minor		VI, minor		VI	VI	6		1	4	4	0	0	C	C	E	E	major triad	0	True	True	True	True	True	0	-3	-3	3	True	False	False
868	2	217.0	76	4	E	0	3.5	0	False	3	4	1	1	1/8	True	1	46	62	44	44a	5	217	False	False					False	127		vi.VI	G	vi		VI	VI					M	False	True	(-4, 0, -3)	()	-4	-4	major	minor	vi	vi, major	VI		vi	vi	True	VI	VI, minor		VI, minor		VI	VI	6		1	4	4	0	0	C	C	E	E	major triad	0	True	True	True	True	True	3	0	0	1	True	False	False
870	2	217.5	57	3	A	0	1.0	1	True	3	4	2	1	1/8	True	1	47	63	45	45a	3	435/2	False	True					False	128		iv	G	vi		iv	iv					m	False	True	(-1, -4, 0)	()	-1	-1	major	minor	vi	vi, major	iv		vi	vi	True	iv	iv, minor		iv, minor		iv	iv	4		1	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	2	-1	-1	4	True	True	True
870	4	217.5	81	3	A	0	1.0	1	True	3	4	1	1	1/4	True	1	47	63	45	45a	5	435/2	False	True					False	128		iv	G	vi		iv	iv					m	False	True	(-1, -4, 0)	()	-1	-1	major	minor	vi	vi, major	iv		vi	vi	True	iv	iv, minor		iv, minor		iv	iv	4		1	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	2	-1	-1	4	True	True	True
872	2	218.0	55	1	G	0	1.5	0	False	3	4	2	1	1/8	True	1	47	63	45	45a	3	218	False	False					False	128		iv	G	vi		iv	iv					m	False	True	(-1, -4, 0)	()	-1	-1	major	minor	vi	vi, major	iv		vi	vi	True	iv	iv, minor		iv, minor		iv	iv	4		1	4	4	3	3	A	A	E	E	minor triad	0	True	True	True	True	True	0	-3	-3	3	False	False	False
874	2	218.5	57	3	A	0	2.0	2	True	3	4	2	1	1/8	True	1	47	63	45	45a	3	437/2	False	True					False	129		ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		1	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	2	-1	-1	4	True	False	True
874	4	218.5	81	3	A	0	2.0	2	True	3	4	1	1	1/4	True	1	47	63	45	45a	5	437/2	False	True					False	129		ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		1	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	2	-1	-1	4	True	False	True
876	2	219.0	59	5	B	0	2.5	0	False	3	4	2	1	1/8	True	1	47	63	45	45a	3	219	False	False					False	129		ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		1	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	4	1	1	5	False	False	False
878	2	219.5	60	0	C	0	3.0	3	True	3	4	2	1	1/8	True	1	47	63	45	45a	4	439/2	False	False					False	129		ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		1	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	-1	-4	-4	6	True	False	False
878	4	219.5	81	3	A	0	3.0	3	True	3	4	1	1	1/4	True	1	47	63	45	45a	5	439/2	False	False					False	129		ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		1	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	2	-1	-1	4	True	False	True
880	2	220.0	57	3	A	0	3.5	0	False	3	4	2	1	1/8	True	1	47	63	45	45a	3	220	False	False					False	129		ii%65	G	vi		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	vi	vi, major	ii		vi	vi	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		1	4	4	6	3	F#	A	E	E	half-diminished seventh chord	1	True	True	True	True	True	2	-1	-1	4	True	False	True
882	4	220.5	59	5	B	0	1.0	1	True	3	4	2	1	1/4	True	1	48	64	46	46a	3	441/2	False	True				}	True	130		V}	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	V	5		1	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	4	1	1	5	True	True	True
882	4	220.5	75	9	D	1	1.0	1	True	3	4	1	1	1/4	True	1	48	64	46	46a	5	441/2	False	True				}	True	130		V}	G	vi		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	vi	vi, major	V		vi	vi	True	V	V, minor		V, minor		V	V	5		1	4	4	5	5	B	B	E	E	major triad	0	True	True	True	True	True	8	5	5	#7	True	False	False
886	4	221.5	59	5	B	0	2.0	2	True	3	4	2	1	1/4	True	1	48	64	46	46a	3	443/2	False	False				{	False	131		{	G	vi		V	V					M	False	True	()	()	1	1	major	minor	vi	vi, major	V		vi	vi	True		, minor		V, minor		V	V	5		1	4	4	5	5	B	B	E	E	None	0	False	True	True	True	True	4	1	1	5	False	True	True
886	4	221.5	71	5	B	0	2.0	2	True	3	4	1	1	1/4	True	1	48	64	46	46a	4	443/2	False	False				{	False	131		{	G	vi		V	V					M	False	True	()	()	1	1	major	minor	vi	vi, major	V		vi	vi	True		, minor		V, minor		V	V	5		1	4	4	5	5	B	B	E	E	None	0	False	True	True	True	True	4	1	1	5	False	True	True
890	4	222.5	59	5	B	0	3.0	3	True	3	4	2	1	1/4	True	1	48	64	46	46a	3	445/2	False	False					False	131		{	G	vi		V	V					M	False	True	()	()	1	1	major	minor	vi	vi, major	V		vi	vi	True		, minor		V, minor		V	V	5		1	4	4	5	5	B	B	E	E	None	0	False	True	True	True	True	4	1	1	5	False	True	True
890	4	222.5	71	5	B	0	3.0	3	True	3	4	1	1	1/4	True	1	48	64	46	46a	4	445/2	False	False					False	131		{	G	vi		V	V					M	False	True	()	()	1	1	major	minor	vi	vi, major	V		vi	vi	True		, minor		V, minor		V	V	5		1	4	4	5	5	B	B	E	E	None	0	False	True	True	True	True	4	1	1	5	False	True	True
894	2	223.5	51	9	D	1	1.0	1	True	3	4	2	1	1/8	True	1	49	65	47	47a	3	447/2	False	True					False	132		V6	G	vi		V6	V		6			M	False	True	(5, 2, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V6	V6, minor		V6, minor		V	V	5		1	4	4	5	9	B	D#	E	E	major triad	1	True	True	True	True	True	8	5	5	#7	True	False	True
894	4	223.5	78	6	F	1	1.0	1	True	3	4	1	1	1/4	True	1	49	65	47	47a	5	447/2	False	True					False	132		V6	G	vi		V6	V		6			M	False	True	(5, 2, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V6	V6, minor		V6, minor		V	V	5		1	4	4	5	9	B	D#	E	E	major triad	1	True	True	True	True	True	5	2	2	2	True	False	False
896	2	224.0	49	7	C	1	1.5	0	False	3	4	2	1	1/8	True	1	49	65	47	47a	3	224	False	False					False	132		V6	G	vi		V6	V		6			M	False	True	(5, 2, 1)	()	1	5	major	minor	vi	vi, major	V		vi	vi	True	V6	V6, minor		V6, minor		V	V	5		1	4	4	5	9	B	D#	E	E	major triad	1	True	True	True	True	True	6	3	3	#6	False	False	False
