onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
282	4	47.0	76	4	E	0	1.0	1	True	6	8	1	1	1/4	True	1	14	28	12	12b	5	141/2	False	True	PAC	PAC		}	True	81	i|PAC}	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
286	2	47.667	40	4	E	0	1.667	0	False	6	8	2	1	1/8	True	1	14	28	12	12b	2	143/2	False	False					False	81	i|PAC}	e	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		4	4	4	4	4	E	E	E	E	minor triad	0	True	True	True	True	True	0	0	0	1	True	True	True
288	4	48.0	52	4	E	0	2.0	2	True	6	8	2	1	1/4	True	4	15	29	12	12b	3	72	True	True				{	False	82	I.I{	e	I		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	I	I, minor	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
288	1	48.0	68	8	G	1	2.0	2	True	6	8	1	1	1/16	True	4	15	29	12	12b	4	72	True	True				{	False	82	I.I{	e	I		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	I	I, minor	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
289	1	48.167	66	6	F	1	2.167	0	False	6	8	1	1	1/16	True	4	15	29	12	12b	4	289/4	False	False					False	82	I.I{	e	I		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	I	I, minor	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	True	True	True	True	2	2	2	2	False	False	False
290	1	48.333	64	4	E	0	2.333	0	False	6	8	1	1	1/16	True	4	15	29	12	12b	4	145/2	False	False					False	82	I.I{	e	I		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	I	I, minor	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
291	1	48.5	66	6	F	1	2.5	0	False	6	8	1	1	1/16	True	4	15	29	12	12b	4	291/4	False	False					False	82	I.I{	e	I		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	I	I, minor	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	True	True	True	True	2	2	2	2	False	False	False
292	2	48.667	47	5	B	0	2.667	0	False	6	8	2	1	1/8	True	4	15	29	12	12b	2	73	False	False					False	82	I.I{	e	I		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	I	I, minor	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	True	True	True	True	1	1	1	5	True	False	False
292	1	48.667	68	8	G	1	2.667	0	False	6	8	1	1	1/16	True	4	15	29	12	12b	4	73	False	False					False	82	I.I{	e	I		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	I	I, minor	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
293	1	48.833	69	3	A	0	2.833	0	False	6	8	1	1	1/16	True	4	15	29	12	12b	4	293/4	False	False					False	82	I.I{	e	I		I	I					M	True	False	(0, 4, 1)	()	0	0	minor	major	I	I, minor	I		I	I	False	I	I, major		I, major		I	I	1		4	4	4	4	4	E	E	E	E	major triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
