onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
906	6	75.5	73	7	C	1	1.5	0	False	3	8	2	1	1/16	True	2	26	26	26	26a	5	151/4	False	False					False	45	iii.i	D	iii		i	i					m	False	True	(0, -3, 1)	()	0	0	major	minor	iii	iii, major	i		iii	iii	True	i	i, minor		i, minor		i	i	1		2	6	6	6	6	F#	F#	F#	F#	minor triad	0	True	True	True	True	True	5	1	1	5	True	False	False
912	6	76.0	59	5	B	0	2.0	2	True	3	8	3	1	1/16	True	2	26	26	26	26a	3	38	False	True					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	3	-1	-1	4	True	False	True
912	6	76.0	71	5	B	0	2.0	2	True	3	8	1	1	1/16	True	2	26	26	26	26a	4	38	False	True					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	3	-1	-1	4	True	False	True
912	6	76.0	74	2	D	0	2.0	2	True	3	8	2	1	1/16	True	2	26	26	26	26a	5	38	False	True					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	0	-4	-4	6	True	False	False
918	6	76.5	61	7	C	1	2.5	0	False	3	8	3	1	1/16	True	2	26	26	26	26a	4	153/4	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	5	1	1	5	False	False	False
918	6	76.5	69	3	A	0	2.5	0	False	3	8	1	1	1/16	True	2	26	26	26	26a	4	153/4	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	1	-3	-3	3	False	False	False
918	6	76.5	73	7	C	1	2.5	0	False	3	8	2	1	1/16	True	2	26	26	26	26a	5	153/4	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	5	1	1	5	False	False	False
924	6	77.0	62	2	D	0	3.0	3	True	3	8	3	1	1/16	True	2	26	26	26	26a	4	77/2	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	0	-4	-4	6	True	False	False
924	6	77.0	68	8	G	1	3.0	3	True	3	8	1	1	1/16	True	2	26	26	26	26a	4	77/2	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	6	2	2	2	True	True	False
924	6	77.0	71	5	B	0	3.0	3	True	3	8	2	1	1/16	True	2	26	26	26	26a	4	77/2	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	3	-1	-1	4	True	False	True
930	6	77.5	59	5	B	0	3.5	0	False	3	8	3	1	1/16	True	2	26	26	26	26a	3	155/4	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	3	-1	-1	4	True	False	True
930	6	77.5	66	6	F	1	3.5	0	False	3	8	1	1	1/16	True	2	26	26	26	26a	4	155/4	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	4	0	0	1	True	False	False
930	6	77.5	69	3	A	0	3.5	0	False	3	8	2	1	1/16	True	2	26	26	26	26a	4	155/4	False	False					False	46	ii%65	D	iii		ii%65	ii	%	65			%7	False	True	(-1, -4, 0, 2)	()	2	-1	major	minor	iii	iii, major	ii		iii	iii	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		2	6	6	8	5	G#	B	F#	F#	half-diminished seventh chord	1	True	True	True	True	True	1	-3	-3	3	False	False	False
936	6	78.0	61	7	C	1	1.0	1	True	3	8	3	1	1/16	True	2	27	27	27	27a	4	39	False	True					False	47	V	D	iii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	iii	iii, major	V		iii	iii	True	V	V, minor		V, minor		V	V	5		2	6	6	7	7	C#	C#	F#	F#	major triad	0	True	True	True	True	True	5	1	1	5	True	True	True
936	6	78.0	65	11	E	1	1.0	1	True	3	8	1	1	1/16	True	2	27	27	27	27a	4	39	False	True					False	47	V	D	iii		V	V					M	False	True	(1, 5, 2)	()	1	1	major	minor	iii	iii, major	V		iii	iii	True	V	V, minor		V, minor		V	V	5		2	6	6	7	7	C#	C#	F#	F#	major triad	0	True	True	True	True	True	9	5	5	#7	True	False	False
