onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
14	2	7.0	72	0	C	0	2.0	2	True	4	4	1	1	1/4	True	-3	3	3	2	2a	5	7	False	False				}	True	6	}	f	i		V	V					M	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V, minor		V	V	5		-1	-1	-1	0	0	C	C	F	F	None	0	False	True	True	True	True	1	1	1	5	False	True	True
15	1	7.5	58	-2	B	-1	2.5	0	False	4	4	2	1	1/8	True	-3	3	3	2	2a	3	15/2	False	False					False	6	}	f	i		V	V					M	True	True	()	()	1	1	minor	minor	i	i, minor	V		i	i	True		, minor		V, minor		V	V	5		-1	-1	-1	0	0	C	C	F	F	None	0	False	True	True	True	True	-1	-1	-1	4	False	False	False
16	1	8.0	56	-4	A	-1	3.0	3	True	4	4	2	1	1/8	True	-3	3	3	2	2a	3	8	False	True				{	False	7	i6{	f	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		-1	-1	-1	-1	-4	F	Ab	F	F	minor triad	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
16	2	8.0	77	-1	F	0	3.0	3	True	4	4	1	1	1/4	True	-3	3	3	2	2a	5	8	False	True				{	False	7	i6{	f	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		-1	-1	-1	-1	-4	F	Ab	F	F	minor triad	1	True	True	True	True	True	0	0	0	1	True	True	False
17	1	8.5	55	1	G	0	3.5	0	False	4	4	2	1	1/8	True	-3	3	3	2	2a	3	17/2	False	False					False	7	i6{	f	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		-1	-1	-1	-1	-4	F	Ab	F	F	minor triad	1	True	True	True	True	True	2	2	2	2	False	False	False
18	1	9.0	56	-4	A	-1	4.0	4	True	4	4	2	1	1/8	True	-3	3	3	2	2a	3	9	False	True					False	8	i65	f	i		i65	i		65			mm7	True	True	(-3, 1, -2, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i65	i65, minor		i65, minor		i	i7	1		-1	-1	-1	-1	-4	F	Ab	F	F	minor seventh chord	1	True	True	True	True	True	-3	-3	-3	3	True	False	True
18	2	9.0	75	-3	E	-1	4.0	4	True	4	4	1	1	1/4	True	-3	3	3	2	2a	5	9	False	True					False	8	i65	f	i		i65	i		65			mm7	True	True	(-3, 1, -2, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i65	i65, minor		i65, minor		i	i7	1		-1	-1	-1	-1	-4	F	Ab	F	F	minor seventh chord	1	True	True	True	True	True	-2	-2	-2	7	True	False	False
19	1	9.5	53	-1	F	0	4.5	0	False	4	4	2	1	1/8	True	-3	3	3	2	2a	3	19/2	False	False					False	8	i65	f	i		i65	i		65			mm7	True	True	(-3, 1, -2, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i65	i65, minor		i65, minor		i	i7	1		-1	-1	-1	-1	-4	F	Ab	F	F	minor seventh chord	1	True	True	True	True	True	0	0	0	1	True	True	False
20	1	10.0	58	-2	B	-1	1.0	1	True	4	4	2	1	1/8	True	-3	4	4	3	3a	3	10	False	True					False	9	iv	f	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		-1	-1	-1	-2	-2	Bb	Bb	F	F	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	True	True
20	2	10.0	73	-5	D	-1	1.0	1	True	4	4	1	1	1/4	True	-3	4	4	3	3a	5	10	False	True					False	9	iv	f	i		iv	iv					m	True	True	(-1, -4, 0)	()	-1	-1	minor	minor	i	i, minor	iv		i	i	True	iv	iv, minor		iv, minor		iv	iv	4		-1	-1	-1	-2	-2	Bb	Bb	F	F	minor triad	0	True	True	True	True	True	-4	-4	-4	6	True	False	False
