onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
82	2	20.5	52	4	E	0	3.5	0	False	3	2	2	2	1/4	True	0	7	7	7	7a	3	41	False	False				False	14	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	2	2	1	-2	G	Bb	D	D	minor triad	1	True	False	True	True	True	2	2	2	2	False	False	False
82	2	20.5	67	1	G	0	3.5	0	False	3	2	1	2	1/4	True	0	7	7	7	7a	4	41	False	False				False	14	iv6	d	i		iv6	iv		6			m	True	True	(-4, 0, -1)	()	-1	-4	minor	minor	i	i, minor	iv		i	i	True	iv6	iv6, minor		iv6, minor		iv	iv	4		2	2	2	1	-2	G	Bb	D	D	minor triad	1	True	False	True	True	True	-1	-1	-1	4	True	True	False
84	8	21.0	53	-1	F	0	1.0	1	True	3	2	2	2	1	True	0	8	8	8	8a	3	42	False	True				False	15	i6	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	False	True	True	True	-3	-3	-3	3	True	False	True
84	4	21.0	69	3	A	0	1.0	1	True	3	2	1	2	1/2	True	0	8	8	8	8a	4	42	False	True				False	15	i6	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	False	True	True	True	1	1	1	5	True	False	False
84	12	21.0	69	3	A	0	1.0	1	True	3	2	1	1	3/2	True	0	8	8	8	8a	4	42	False	True				False	15	i6	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	False	True	True	True	1	1	1	5	True	False	False
88	4	22.0	57	3	A	0	2.0	2	True	3	2	2	1	1/2	True	0	8	8	8	8a	3	44	False	False				False	15	i6	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	False	True	True	True	1	1	1	5	True	False	False
88	4	22.0	65	-1	F	0	2.0	2	True	3	2	1	2	1/2	True	0	8	8	8	8a	4	44	False	False				False	15	i6	d	i		i6	i		6			m	True	True	(-3, 1, 0)	()	0	-3	minor	minor	i	i, minor	i		i	i	True	i6	i6, minor		i6, minor		i	i	1		2	2	2	2	-1	D	F	D	D	minor triad	1	True	False	True	True	True	-3	-3	-3	3	True	False	True
92	4	23.0	60	0	C	0	3.0	3	True	3	2	2	1	1/2	True	0	8	8	8	8a	4	46	False	True				False	16	v6	d	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		2	2	2	3	0	A	C	D	D	minor triad	1	True	False	True	True	True	-2	-2	-2	7	True	False	True
92	4	23.0	64	4	E	0	3.0	3	True	3	2	1	2	1/2	True	0	8	8	8	8a	4	46	False	True				False	16	v6	d	i		v6	v		6			m	True	True	(-2, 2, 1)	()	1	-2	minor	minor	i	i, minor	v		i	i	True	v6	v6, minor		v6, minor		v	v	5		2	2	2	3	0	A	C	D	D	minor triad	1	True	False	True	True	True	2	2	2	2	True	False	False
96	4	24.0	59	5	B	0	1.0	1	True	3	2	2	1	1/2	True	0	9	9	9	9a	3	48	False	True				False	17	IV6	d	i		IV6	IV		6			M	True	True	(3, 0, -1)	()	-1	3	minor	minor	i	i, minor	IV		i	i	True	IV6	IV6, minor		IV6, minor		IV	IV	4		2	2	2	1	5	G	B	D	D	major triad	1	True	False	True	True	True	3	3	3	#6	True	False	True
96	8	24.0	62	2	D	0	1.0	1	True	3	2	1	2	1	True	0	9	9	9	9a	4	48	False	True				False	17	IV6	d	i		IV6	IV		6			M	True	True	(3, 0, -1)	()	-1	3	minor	minor	i	i, minor	IV		i	i	True	IV6	IV6, minor		IV6, minor		IV	IV	4		2	2	2	1	5	G	B	D	D	major triad	1	True	False	True	True	True	0	0	0	1	True	False	False
96	12	24.0	67	1	G	0	1.0	1	True	3	2	1	1	3/2	True	0	9	9	9	9a	4	48	False	True				False	17	IV6	d	i		IV6	IV		6			M	True	True	(3, 0, -1)	()	-1	3	minor	minor	i	i, minor	IV		i	i	True	IV6	IV6, minor		IV6, minor		IV	IV	4		2	2	2	1	5	G	B	D	D	major triad	1	True	False	True	True	True	-1	-1	-1	4	True	True	False
100	2	25.0	57	3	A	0	2.0	2	True	3	2	2	1	1/4	True	0	9	9	9	9a	3	50	False	True				False	18	IV	d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		2	2	2	1	1	G	G	D	D	major triad	0	True	False	True	True	True	1	1	1	5	False	False	False
102	2	25.5	55	1	G	0	2.5	0	False	3	2	2	1	1/4	True	0	9	9	9	9a	3	51	False	False				False	18	IV	d	i		IV	IV					M	True	True	(-1, 3, 0)	()	-1	-1	minor	minor	i	i, minor	IV		i	i	True	IV	IV, minor		IV, minor		IV	IV	4		2	2	2	1	1	G	G	D	D	major triad	0	True	False	True	True	True	-1	-1	-1	4	True	True	True
104	2	26.0	60	0	C	0	3.0	3	True	3	2	2	1	1/4	True	0	9	9	9	9a	4	52	False	True				False	19	VII	d	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		2	2	2	0	0	C	C	D	D	major triad	0	True	False	True	True	True	-2	-2	-2	7	True	True	True
104	4	26.0	64	4	E	0	3.0	3	True	3	2	1	2	1/2	True	0	9	9	9	9a	4	52	False	True				False	19	VII	d	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		2	2	2	0	0	C	C	D	D	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
106	2	26.5	48	0	C	0	3.5	0	False	3	2	2	1	1/4	True	0	9	9	9	9a	3	53	False	False				False	19	VII	d	i		VII	VII					M	True	True	(-2, 2, -1)	()	-2	-2	minor	minor	i	i, minor	VII		i	i	True	VII	VII, minor		VII, minor		VII	VII	7		2	2	2	0	0	C	C	D	D	major triad	0	True	False	True	True	True	-2	-2	-2	7	True	True	True
108	2	27.0	53	-1	F	0	1.0	1	True	3	2	2	1	1/4	True	0	10	10	10	10a	3	54	False	True				False	20	III	d	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		2	2	2	-1	-1	F	F	D	D	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	True	True
108	6	27.0	65	-1	F	0	1.0	1	True	3	2	1	2	3/4	True	0	10	10	10	10a	4	54	False	True				False	20	III	d	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		2	2	2	-1	-1	F	F	D	D	major triad	0	True	False	True	True	True	-3	-3	-3	3	True	True	True
108	12	27.0	69	3	A	0	1.0	1	True	3	2	1	1	3/2	True	0	10	10	10	10a	4	54	False	True				False	20	III	d	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		2	2	2	-1	-1	F	F	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	False	False
110	2	27.5	55	1	G	0	1.5	0	False	3	2	2	1	1/4	True	0	10	10	10	10a	3	55	False	False				False	20	III	d	i		III	III					M	True	True	(-3, 1, -2)	()	-3	-3	minor	minor	i	i, minor	III		i	i	True	III	III, minor		III, minor		III	III	3		2	2	2	-1	-1	F	F	D	D	major triad	0	True	False	True	True	True	-1	-1	-1	4	False	False	False
112	2	28.0	57	3	A	0	2.0	2	True	3	2	2	1	1/4	True	0	10	10	10	10a	3	56	False	True				False	21	III6	d	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	III	3		2	2	2	-1	3	F	A	D	D	major triad	1	True	False	True	True	True	1	1	1	5	True	False	True
114	2	28.5	59	5	B	0	2.5	0	False	3	2	2	1	1/4	True	0	10	10	10	10a	3	57	False	False				False	21	III6	d	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	III	3		2	2	2	-1	3	F	A	D	D	major triad	1	True	False	True	True	True	3	3	3	#6	False	False	False
114	1	28.5	67	1	G	0	2.5	0	False	3	2	1	2	1/8	True	0	10	10	10	10a	4	57	False	False				False	21	III6	d	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	III	3		2	2	2	-1	3	F	A	D	D	major triad	1	True	False	True	True	True	-1	-1	-1	4	False	False	False
115	1	28.75	65	-1	F	0	2.75	0	False	3	2	1	2	1/8	True	0	10	10	10	10a	4	115/2	False	False				False	21	III6	d	i		III6	III		6			M	True	True	(1, -2, -3)	()	-3	1	minor	minor	i	i, minor	III		i	i	True	III6	III6, minor		III6, minor		III	III	3		2	2	2	-1	3	F	A	D	D	major triad	1	True	False	True	True	True	-3	-3	-3	3	True	True	False
116	2	29.0	61	7	C	1	3.0	3	True	3	2	2	1	1/4	True	0	10	10	10	10a	4	58	False	True				False	22	V	d	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		2	2	2	3	3	A	A	D	D	major triad	0	True	False	True	True	True	5	5	5	#7	True	False	False
116	4	29.0	64	4	E	0	3.0	3	True	3	2	1	2	1/2	True	0	10	10	10	10a	4	58	False	True				False	22	V	d	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		2	2	2	3	3	A	A	D	D	major triad	0	True	False	True	True	True	2	2	2	2	True	False	False
118	2	29.5	57	3	A	0	3.5	0	False	3	2	2	1	1/4	True	0	10	10	10	10a	3	59	False	False				False	22	V	d	i		V	V					M	True	True	(1, 5, 2)	()	1	1	minor	minor	i	i, minor	V		i	i	True	V	V, minor		V, minor		V	V	5		2	2	2	3	3	A	A	D	D	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
120	8	30.0	62	2	D	0	1.0	1	True	3	2	2	1	1	True	0	11	11	11	11a	4	60	False	True			}{	True	23	i}{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	0	0	0	1	True	True	True
120	12	30.0	65	-1	F	0	1.0	1	True	3	2	1	2	3/2	True	0	11	11	11	11a	4	60	False	True			}{	True	23	i}{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	-3	-3	-3	3	True	False	False
120	12	30.0	69	3	A	0	1.0	1	True	3	2	1	1	3/2	True	0	11	11	11	11a	4	60	False	True			}{	True	23	i}{	d	i		i	i					m	True	True	(0, -3, 1)	()	0	0	minor	minor	i	i, minor	i		i	i	True	i	i, minor		i, minor		i	i	1		2	2	2	2	2	D	D	D	D	minor triad	0	True	False	True	True	True	1	1	1	5	True	False	False
