onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
171	1	42.75	73	7	C	1	3.75	0	False	4	4	1	1	1/16	True	3	5	11	5	5b	5	171/4	False	False				False	25	viio2/V/V		A	I	V/V	viio2/V/V	vii	o	2		V/V	o7	False	False	(-2, 7, 4, 1)	()	7	-2	major	major	I	I, major	vii/V/V	II	V/V/I	II	False	viio2/V/V	viio2/V/V, major	II	viio2/V/V, major	V	V	viio7	7	2	3	3	5	10	1	A#	G	A	B	diminished seventh chord	3	True	True	True	True	True	4	4	2	3	True	False	False
172	3	43.0	61	7	C	1	4.0	4	True	4	4	1	1	3/16	True	3	5	11	5	5b	4	43	False	False				False	25	viio2/V/V		A	I	V/V	viio2/V/V	vii	o	2		V/V	o7	False	False	(-2, 7, 4, 1)	()	7	-2	major	major	I	I, major	vii/V/V	II	V/V/I	II	False	viio2/V/V	viio2/V/V, major	II	viio2/V/V, major	V	V	viio7	7	2	3	3	5	10	1	A#	G	A	B	diminished seventh chord	3	True	True	True	True	True	4	4	2	3	True	False	False
175	1	43.75	70	10	A	1	4.75	0	False	4	4	1	1	1/16	True	3	5	11	5	5b	4	175/4	False	False				False	25	viio2/V/V		A	I	V/V	viio2/V/V	vii	o	2		V/V	o7	False	False	(-2, 7, 4, 1)	()	7	-2	major	major	I	I, major	vii/V/V	II	V/V/I	II	False	viio2/V/V	viio2/V/V, major	II	viio2/V/V, major	V	V	viio7	7	2	3	3	5	10	1	A#	G	A	B	diminished seventh chord	3	True	True	True	True	True	7	7	5	#1	True	True	False
176	3	44.0	60	0	C	0	1.0	1	True	4	4	1	1	3/16	True	3	6	12	6	6b	4	44	False	True				False	26	V7(b9)/V]		A	I	V/V	V7(b9)/V	V		7	b9	V	Mm7	False	False	(2, 6, 3, 0)	(-3,)	2	2	major	major	I	I, major	V/V	V	V/I	V	False	V7/V	V7/V, major	II	V7(b9)/V, major	V	V	V7	5	5	3	3	4	5	5	B	B	A	E	dominant seventh chord	7	True	True	True	True	True	-3	-3	-4	b3	False	False	False
177	1	44.25	47	5	B	0	1.25	0	False	4	4	2	1	1/16	True	3	6	12	6	6b	2	177/4	False	False				False	26	V7(b9)/V]		A	I	V/V	V7(b9)/V	V		7	b9	V	Mm7	False	False	(2, 6, 3, 0)	(-3,)	2	2	major	major	I	I, major	V/V	V	V/I	V	False	V7/V	V7/V, major	II	V7(b9)/V, major	V	V	V7	5	5	3	3	4	5	5	B	B	A	E	dominant seventh chord	7	True	True	True	True	True	2	2	1	2	True	True	True
178	1	44.5	54	6	F	1	1.5	0	False	4	4	2	1	1/16	True	3	6	12	6	6b	3	89/2	False	False				False	26	V7(b9)/V]		A	I	V/V	V7(b9)/V	V		7	b9	V	Mm7	False	False	(2, 6, 3, 0)	(-3,)	2	2	major	major	I	I, major	V/V	V	V/I	V	False	V7/V	V7/V, major	II	V7(b9)/V, major	V	V	V7	5	5	3	3	4	5	5	B	B	A	E	dominant seventh chord	7	True	True	True	True	True	3	3	2	6	True	False	False
179	1	44.75	63	9	D	1	1.75	0	False	4	4	2	1	1/16	True	3	6	12	6	6b	4	179/4	False	False				False	26	V7(b9)/V]		A	I	V/V	V7(b9)/V	V		7	b9	V	Mm7	False	False	(2, 6, 3, 0)	(-3,)	2	2	major	major	I	I, major	V/V	V	V/I	V	False	V7/V	V7/V, major	II	V7(b9)/V, major	V	V	V7	5	5	3	3	4	5	5	B	B	A	E	dominant seventh chord	7	True	True	True	True	True	6	6	5	#4	True	False	False
179	1	44.75	69	3	A	0	1.75	0	False	4	4	1	1	1/16	True	3	6	12	6	6b	4	179/4	False	False				False	26	V7(b9)/V]		A	I	V/V	V7(b9)/V	V		7	b9	V	Mm7	False	False	(2, 6, 3, 0)	(-3,)	2	2	major	major	I	I, major	V/V	V	V/I	V	False	V7/V	V7/V, major	II	V7(b9)/V, major	V	V	V7	5	5	3	3	4	5	5	B	B	A	E	dominant seventh chord	7	True	True	True	True	True	0	0	-1	1	True	False	False
180	3	45.0	57	3	A	0	2.0	2	True	4	4	1	1	3/16	True	3	6	12	6	6b	3	45	False	False				False	26	V7(b9)/V]		A	I	V/V	V7(b9)/V	V		7	b9	V	Mm7	False	False	(2, 6, 3, 0)	(-3,)	2	2	major	major	I	I, major	V/V	V	V/I	V	False	V7/V	V7/V, major	II	V7(b9)/V, major	V	V	V7	5	5	3	3	4	5	5	B	B	A	E	dominant seventh chord	7	True	True	True	True	True	0	0	-1	1	True	False	False
183	1	45.75	66	6	F	1	2.75	0	False	4	4	1	1	1/16	True	3	6	12	6	6b	4	183/4	False	False				False	26	V7(b9)/V]		A	I	V/V	V7(b9)/V	V		7	b9	V	Mm7	False	False	(2, 6, 3, 0)	(-3,)	2	2	major	major	I	I, major	V/V	V	V/I	V	False	V7/V	V7/V, major	II	V7(b9)/V, major	V	V	V7	5	5	3	3	4	5	5	B	B	A	E	dominant seventh chord	7	True	True	True	True	True	3	3	2	6	True	False	False
