onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
552	24	23.0	52	4	E	0	4.0	4	True	4	4	1	1	1/4	True	2	6	6	6	6a	3	23	False	False				False	10	v7		b	i	i	v7		v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor	i	v7, minor		v	v7	5		5	5	5	6	6	F#	F#	B	B	minor seventh chord	7	True	True	True	True	True	-1	-1	-1	4	True	False	False
564	12	23.5	35	5	B	0	4.5	0	False	4	4	2	1	1/8	True	2	6	6	6	6a	1	47/2	False	False				False	10	v7		b	i	i	v7		v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor	i	v7, minor		v	v7	5		5	5	5	6	6	F#	F#	B	B	minor seventh chord	7	True	True	True	True	True	0	0	0	1	False	False	False
564	12	23.5	42	6	F	1	4.5	0	False	4	4	2	1	1/8	False	2	6	6	6	6a	2	47/2	False	False				False	10	v7		b	i	i	v7		v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor	i	v7, minor		v	v7	5		5	5	5	6	6	F#	F#	B	B	minor seventh chord	7	True	True	True	True	True	1	1	1	5	True	True	True
564	12	23.5	49	7	C	1	4.5	0	False	4	4	2	1	1/8	False	2	6	6	6	6a	3	47/2	False	False				False	10	v7		b	i	i	v7		v		7			mm7	True	True	(1, -2, 2, -1)	()	1	1	minor	minor	i	i, minor	v		i	i	True	v7	v7, minor	i	v7, minor		v	v7	5		5	5	5	6	6	F#	F#	B	B	minor seventh chord	7	True	True	True	True	True	2	2	2	2	True	False	False
582	6	24.25	57	3	A	0	1.25	0	False	4	4	1	1	1/16	True	2	7	7	7	7a	3	97/4	False	True				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	-2	-2	-2	7	False	False	False
588	12	24.5	46	10	A	1	1.5	0	False	4	4	2	1	1/8	True	2	7	7	7	7a	2	49/2	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	5	5	5	#7	True	False	False
588	6	24.5	56	8	G	1	1.5	0	False	4	4	1	1	1/16	True	2	7	7	7	7a	3	49/2	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	3	3	3	#6	False	False	False
594	6	24.75	55	1	G	0	1.75	0	False	4	4	1	1	1/16	True	2	7	7	7	7a	3	99/4	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	-4	-4	-4	6	False	False	False
600	12	25.0	37	7	C	1	2.0	2	True	4	4	2	1	1/8	True	2	7	7	7	7a	2	25	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	2	2	2	2	True	False	True
600	12	25.0	46	10	A	1	2.0	2	True	4	4	2	1	1/8	False	2	7	7	7	7a	2	25	False	False				False	11	V64		b	i	i	V64		V		64			M	True	True	(2, 1, 5)	()	1	2	minor	minor	i	i, minor	V		i	i	True	V64	V64, minor	i	V64, minor		V	V	5		5	5	5	6	7	F#	C#	B	B	major triad	2	True	True	True	True	True	5	5	5	#7	True	False	False
