onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
432	24	9.0	72	0	C	0	2.0	2	True	2	2	1	1	1/4	True	0	5	5	5	5a	5	18	False	True				False	9		V(4)		C	I		V(4)	V			4		M	False	False	(1, 0, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V(4), major		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	False	False
456	24	9.5	43	1	G	0	2.5	0	False	2	2	2	1	1/4	True	0	5	5	5	5a	2	19	False	True				False	10		V		C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	1	1	1	5	True	True	True
456	24	9.5	71	5	B	0	2.5	0	False	2	2	1	1	1/4	True	0	5	5	5	5a	4	19	False	True				False	10		V		C	I		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major		V, major		V	V	5		0	0	0	1	1	G	G	C	C	major triad	0	True	True	True	True	True	5	5	5	7	True	False	False
480	48	10.0	48	0	C	0	1.0	1	True	2	2	2	1	1/2	True	0	6	6	6	6a	3	20	False	True			}	True	11		I(^7)}		C	I		I(^7)	I			^7		M	False	False	(0, 4, 1)	(5,)	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(^7), major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
480	24	10.0	71	5	B	0	1.0	1	True	2	2	1	1	1/4	True	0	6	6	6	6a	4	20	False	True			}	True	11		I(^7)}		C	I		I(^7)	I			^7		M	False	False	(0, 4, 1)	(5,)	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(^7), major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	5	5	5	7	False	False	False
504	48	10.5	72	0	C	0	1.5	0	False	2	2	1	1	1/2	True	0	6	6	6	6a	5	21	False	True	PAC	PAC		False	12		I|PAC		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
528	24	11.0	52	4	E	0	2.0	2	True	2	2	2	1	1/4	True	0	6	6	6	6a	3	22	False	True				False	13		I6		C	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		0	0	0	0	4	C	E	C	C	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
552	24	11.5	48	0	C	0	2.5	0	False	2	2	2	1	1/4	True	0	6	6	6	6a	3	23	False	True			{	False	14		I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
552	24	11.5	76	4	E	0	2.5	0	False	2	2	1	1	1/4	True	0	6	6	6	6a	5	23	False	True			{	False	14		I{		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
576	0	12.0	79	1	G	0	1.0	1	True	2	2	1	1	0	True	0	7	7	7	7a	5	24	False	True				False	15		ii		C	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		0	0	0	2	2	D	D	C	C	minor triad	0	True	True	True	True	True	1	1	1	5	False	False	False
576	72	12.0	50	2	D	0	1.0	1	True	2	2	2	1	3/4	True	0	7	7	7	7a	3	24	False	True				False	15		ii		C	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		0	0	0	2	2	D	D	C	C	minor triad	0	True	True	True	True	True	2	2	2	2	True	True	True
576	8	12.0	77	-1	F	0	1.0	1	True	2	2	1	1	1/12	True	0	7	7	7	7a	5	24	False	True				False	15		ii		C	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		0	0	0	2	2	D	D	C	C	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	False	False
584	8	12.167	76	4	E	0	1.167	0	False	2	2	1	1	1/12	True	0	7	7	7	7a	5	73/3	False	False				False	15		ii		C	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		0	0	0	2	2	D	D	C	C	minor triad	0	True	True	True	True	True	4	4	4	3	False	False	False
592	8	12.333	74	2	D	0	1.333	0	False	2	2	1	1	1/12	True	0	7	7	7	7a	5	74/3	False	False				False	15		ii		C	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		0	0	0	2	2	D	D	C	C	minor triad	0	True	True	True	True	True	2	2	2	2	True	True	True
600	8	12.5	72	0	C	0	1.5	0	False	2	2	1	1	1/12	True	0	7	7	7	7a	5	25	False	False				False	15		ii		C	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		0	0	0	2	2	D	D	C	C	minor triad	0	True	True	True	True	True	0	0	0	1	False	False	False
608	8	12.667	71	5	B	0	1.667	0	False	2	2	1	1	1/12	True	0	7	7	7	7a	4	76/3	False	False				False	15		ii		C	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		0	0	0	2	2	D	D	C	C	minor triad	0	True	True	True	True	True	5	5	5	7	False	False	False
616	8	12.833	69	3	A	0	1.833	0	False	2	2	1	1	1/12	True	0	7	7	7	7a	4	77/3	False	False				False	15		ii		C	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		0	0	0	2	2	D	D	C	C	minor triad	0	True	True	True	True	True	3	3	3	6	True	False	False
624	24	13.0	67	1	G	0	2.0	2	True	2	2	1	1	1/4	True	0	7	7	7	7a	4	26	False	True				False	16		V64		C	I		V64	V		64			M	False	False	(2, 1, 5)	()	1	2	major	major	I	I, major	V		I	I	False	V64	V64, major		V64, major		V	V	5		0	0	0	1	2	G	D	C	C	major triad	2	True	True	True	True	True	1	1	1	5	True	True	False
648	24	13.5	43	1	G	0	2.5	0	False	2	2	2	1	1/4	True	0	7	7	7	7a	2	27	False	True				False	17		V7		C	I		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		0	0	0	1	1	G	G	C	C	dominant seventh chord	7	True	True	True	True	True	1	1	1	5	True	True	True
648	24	13.5	77	-1	F	0	2.5	0	False	2	2	1	1	1/4	True	0	7	7	7	7a	5	27	False	True				False	17		V7		C	I		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	I	I, major	V		I	I	False	V7	V7, major		V7, major		V	V7	5		0	0	0	1	1	G	G	C	C	dominant seventh chord	7	True	True	True	True	True	-1	-1	-1	4	True	False	False
672	72	14.0	48	0	C	0	1.0	1	True	2	2	2	1	3/4	True	0	8	8	8	8a	3	28	False	True				False	18		I(^2)		C	I		I(^2)	I			^2		M	False	False	(0, 2, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(^2), major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	0	0	0	1	True	True	True
672	24	14.0	74	2	D	0	1.0	1	True	2	2	1	1	1/4	True	0	8	8	8	8a	5	28	False	True				False	18		I(^2)		C	I		I(^2)	I			^2		M	False	False	(0, 2, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(^2), major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	2	2	2	2	True	False	False
696	24	14.5	75	9	D	1	1.5	0	False	2	2	1	1	1/4	True	0	8	8	8	8a	5	29	False	True				False	19		I(#2)		C	I		I(#2)	I			#2		M	False	False	(0, 9, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I(#2), major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	9	9	9	#2	True	False	False
720	24	15.0	76	4	E	0	2.0	2	True	2	2	1	1	1/4	True	0	8	8	8	8a	5	30	False	True				False	20		I		C	I		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major		I, major		I	I	1		0	0	0	0	0	C	C	C	C	major triad	0	True	True	True	True	True	4	4	4	3	True	False	False
744	24	15.5	64	4	E	0	2.5	0	False	2	2	2	1	1/4	True	0	8	8	8	8a	4	31	False	True				False	21		I6		C	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		0	0	0	0	4	C	E	C	C	major triad	1	True	True	True	True	True	4	4	4	3	True	False	True
744	24	15.5	72	0	C	0	2.5	0	False	2	2	1	1	1/4	True	0	8	8	8	8a	5	31	False	True				False	21		I6		C	I		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	I	I, major	I		I	I	False	I6	I6, major		I6, major		I	I	1		0	0	0	0	4	C	E	C	C	major triad	1	True	True	True	True	True	0	0	0	1	True	True	False
