onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
25500	60	106.25	46	-2	B	-1	1.25	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	2	425/4	False	False				False	88		I	Ab	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	I	1		-4	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	True	True	True	True	2	1	1	5	True	False	False
25500	60	106.25	51	-3	E	-1	1.25	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	3	425/4	False	False				False	88		I	Ab	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	I	1		-4	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	True	True	True	True	1	0	0	1	True	True	True
25560	60	106.5	51	-3	E	-1	1.5	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	3	213/2	False	False				False	88		I	Ab	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	I	1		-4	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	True	True	True	True	1	0	0	1	True	True	True
25560	60	106.5	55	1	G	0	1.5	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	3	213/2	False	False				False	88		I	Ab	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	I	1		-4	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	True	True	True	True	5	4	4	3	True	False	False
25620	60	106.75	46	-2	B	-1	1.75	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	2	427/4	False	False				False	88		I	Ab	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	I	1		-4	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	True	True	True	True	2	1	1	5	True	False	False
25620	60	106.75	51	-3	E	-1	1.75	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	3	427/4	False	False				False	88		I	Ab	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	I	1		-4	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	True	True	True	True	1	0	0	1	True	True	True
25620	60	106.75	87	-3	E	-1	1.75	0	False	2	4	1	1	1/16	True	-4	54	54	54	54a	6	427/4	False	False				False	88		I	Ab	V		I	I					M	False	False	(0, 4, 1)	()	0	0	major	major	V	V, major	I		V	V	False	I	I, major		I, major		I	I	1		-4	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	True	True	True	True	1	0	0	1	True	True	True
25680	60	107.0	53	-1	F	0	2.0	2	True	2	4	2	1	1/16	True	-4	54	54	54	54a	3	107	False	True				False	89		V7	Ab	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		-4	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	True	True	True	True	3	2	2	2	True	False	False
25680	60	107.0	56	-4	A	-1	2.0	2	True	2	4	2	1	1/16	True	-4	54	54	54	54a	3	107	False	True				False	89		V7	Ab	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		-4	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	True	True	True	True	0	-1	-1	4	True	False	False
25680	60	107.0	86	2	D	0	2.0	2	True	2	4	1	1	1/16	True	-4	54	54	54	54a	6	107	False	True				False	89		V7	Ab	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		-4	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	True	True	True	True	6	5	5	7	True	False	False
25740	60	107.25	46	-2	B	-1	2.25	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	2	429/4	False	False				False	89		V7	Ab	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		-4	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	True	True	True	True	2	1	1	5	True	True	True
25740	60	107.25	53	-1	F	0	2.25	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	3	429/4	False	False				False	89		V7	Ab	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		-4	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	True	True	True	True	3	2	2	2	True	False	False
25740	60	107.25	89	-1	F	0	2.25	0	False	2	4	1	1	1/16	True	-4	54	54	54	54a	6	429/4	False	False				False	89		V7	Ab	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		-4	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	True	True	True	True	3	2	2	2	True	False	False
25800	60	107.5	53	-1	F	0	2.5	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	3	215/2	False	False				False	89		V7	Ab	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		-4	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	True	True	True	True	3	2	2	2	True	False	False
25800	60	107.5	56	-4	A	-1	2.5	0	False	2	4	2	1	1/16	True	-4	54	54	54	54a	3	215/2	False	False				False	89		V7	Ab	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		-4	-3	-3	-2	-2	Bb	Bb	Eb	Eb	dominant seventh chord	7	True	True	True	True	True	0	-1	-1	4	True	False	False
