onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
448	1	74.667	50	2	D	0	1.667	0	False	6	8	4	1	1/16	True	2	38	38	38	38a	3	112	False	False				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	0	0	-1	1	False	False	False
448	1	74.667	66	6	F	1	1.667	0	False	6	8	1	1	1/16	True	2	38	38	38	38a	4	112	False	False				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	4	4	3	3	False	False	False
448	2	74.667	73	7	C	1	1.667	0	False	6	8	2	1	1/8	True	2	38	38	38	38a	5	112	False	False				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	5	5	4	7	True	True	False
449	1	74.833	49	7	C	1	1.833	0	False	6	8	3	1	1/16	True	2	38	38	38	38a	3	449/4	False	False				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	5	5	4	7	True	True	False
449	1	74.833	49	7	C	1	1.833	0	False	6	8	4	1	1/16	True	2	38	38	38	38a	3	449/4	False	False				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	5	5	4	7	True	True	False
449	1	74.833	64	4	E	0	1.833	0	False	6	8	1	1	1/16	True	2	38	38	38	38a	4	449/4	False	False				False	138	iii6/V	D	I		iii6/V	iii		6		V	m	False	False	(2, 6, 5)	()	5	2	major	major	I	I, major	iii/V	V	V/I	V	False	iii6/V	iii6/V, major		iii6/V, major	V	V	iii	3	5	2	2	3	7	4	C#	E	D	A	minor triad	1	True	True	True	True	True	2	2	1	2	True	False	True
450	4	75.0	50	2	D	0	2.0	2	True	6	8	3	1	1/4	True	2	38	38	38	38a	3	225/2	False	True				False	139	ii6(2)/V	D	I		ii6(2)/V	ii		6	2	V	m	False	False	(0, 4, 5)	()	3	0	major	major	I	I, major	ii/V	V	V/I	V	False	ii6/V	ii6/V, major		ii6(2)/V, major	V	V	ii	2	5	2	2	3	5	2	B	D	D	A	minor triad	1	True	True	True	True	True	0	0	-1	1	True	False	True
450	4	75.0	50	2	D	0	2.0	2	True	6	8	4	1	1/4	True	2	38	38	38	38a	3	225/2	False	True				False	139	ii6(2)/V	D	I		ii6(2)/V	ii		6	2	V	m	False	False	(0, 4, 5)	()	3	0	major	major	I	I, major	ii/V	V	V/I	V	False	ii6/V	ii6/V, major		ii6(2)/V, major	V	V	ii	2	5	2	2	3	5	2	B	D	D	A	minor triad	1	True	True	True	True	True	0	0	-1	1	True	False	True
450	2	75.0	66	6	F	1	2.0	2	True	6	8	1	1	1/8	True	2	38	38	38	38a	4	225/2	False	True				False	139	ii6(2)/V	D	I		ii6(2)/V	ii		6	2	V	m	False	False	(0, 4, 5)	()	3	0	major	major	I	I, major	ii/V	V	V/I	V	False	ii6/V	ii6/V, major		ii6(2)/V, major	V	V	ii	2	5	2	2	3	5	2	B	D	D	A	minor triad	1	True	True	True	True	True	4	4	3	3	True	False	False
450	2	75.0	73	7	C	1	2.0	2	True	6	8	2	1	1/8	True	2	38	38	38	38a	5	225/2	False	True				False	139	ii6(2)/V	D	I		ii6(2)/V	ii		6	2	V	m	False	False	(0, 4, 5)	()	3	0	major	major	I	I, major	ii/V	V	V/I	V	False	ii6/V	ii6/V, major		ii6(2)/V, major	V	V	ii	2	5	2	2	3	5	2	B	D	D	A	minor triad	1	True	True	True	True	True	5	5	4	7	True	False	False
