onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
264	2	66.0	63	-3	E	-1	2.5	0	False	2	2	2	2	1/4	True	-4	34	34	33	33a	4	132	False	True				False	84	I6	f	III		I6		I		6			M	True	False	(4, 1, 0)	()	0	4	minor	major	III	III, minor	I		III	III	False	I6	I6, major		I6, major		I	I	1		-1	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	False	True	True	True	-2	1	1	5	True	False	False
264	2	66.0	75	-3	E	-1	2.5	0	False	2	2	1	1	1/4	True	-4	34	34	33	33a	5	132	False	True				False	84	I6	f	III		I6		I		6			M	True	False	(4, 1, 0)	()	0	4	minor	major	III	III, minor	I		III	III	False	I6	I6, major		I6, major		I	I	1		-1	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	False	True	True	True	-2	1	1	5	True	False	False
264	2	66.0	75	-3	E	-1	2.5	0	False	2	2	2	1	1/4	True	-4	34	34	33	33a	5	132	False	True				False	84	I6	f	III		I6		I		6			M	True	False	(4, 1, 0)	()	0	4	minor	major	III	III, minor	I		III	III	False	I6	I6, major		I6, major		I	I	1		-1	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	False	True	True	True	-2	1	1	5	True	False	False
265	1	66.25	51	-3	E	-1	2.75	0	False	2	2	3	1	1/8	True	-4	34	34	33	33a	3	265/2	False	False				False	84	I6	f	III		I6		I		6			M	True	False	(4, 1, 0)	()	0	4	minor	major	III	III, minor	I		III	III	False	I6	I6, major		I6, major		I	I	1		-1	-4	-4	-4	0	Ab	C	Ab	Ab	major triad	1	True	False	True	True	True	-2	1	1	5	True	False	False
266	0	66.5	75	-3	E	-1	1.0	1	True	2	2	1	1	0	True	-4	35	35	34	34a	5	133	False	True				False	85	#viio2/ii	f	III		#viio2/ii		#vii	o	2		ii	o7	True	False	(-2, 7, 4, 1)	()	7	-2	minor	major	III	III, minor	#vii/ii	ii	ii/III	iv	True	#viio2/ii	#viio2/ii, major		#viio2/ii, major	ii	ii	viio7	#7	2	-1	-4	-2	3	-6	A	Gb	Ab	Bb	diminished seventh chord	3	True	False	True	True	True	-2	1	-1	5	True	False	False
266	2	66.5	54	-6	G	-1	1.0	1	True	2	2	3	1	1/4	True	-4	35	35	34	34a	3	133	False	True				False	85	#viio2/ii	f	III		#viio2/ii		#vii	o	2		ii	o7	True	False	(-2, 7, 4, 1)	()	7	-2	minor	major	III	III, minor	#vii/ii	ii	ii/III	iv	True	#viio2/ii	#viio2/ii, major		#viio2/ii, major	ii	ii	viio7	#7	2	-1	-4	-2	3	-6	A	Gb	Ab	Bb	diminished seventh chord	3	True	False	True	True	True	-5	-2	-4	b7	True	False	True
266	2	66.5	60	0	C	0	1.0	1	True	2	2	2	1	1/4	True	-4	35	35	34	34a	4	133	False	True				False	85	#viio2/ii	f	III		#viio2/ii		#vii	o	2		ii	o7	True	False	(-2, 7, 4, 1)	()	7	-2	minor	major	III	III, minor	#vii/ii	ii	ii/III	iv	True	#viio2/ii	#viio2/ii, major		#viio2/ii, major	ii	ii	viio7	#7	2	-1	-4	-2	3	-6	A	Gb	Ab	Bb	diminished seventh chord	3	True	False	True	True	True	1	4	2	3	True	False	False
266	2	66.5	63	-3	E	-1	1.0	1	True	2	2	2	1	1/4	True	-4	35	35	34	34a	4	133	False	True				False	85	#viio2/ii	f	III		#viio2/ii		#vii	o	2		ii	o7	True	False	(-2, 7, 4, 1)	()	7	-2	minor	major	III	III, minor	#vii/ii	ii	ii/III	iv	True	#viio2/ii	#viio2/ii, major		#viio2/ii, major	ii	ii	viio7	#7	2	-1	-4	-2	3	-6	A	Gb	Ab	Bb	diminished seventh chord	3	True	False	True	True	True	-2	1	-1	5	True	False	False
266	2	66.5	66	-6	G	-1	1.0	1	True	2	2	2	1	1/4	True	-4	35	35	34	34a	4	133	False	True				False	85	#viio2/ii	f	III		#viio2/ii		#vii	o	2		ii	o7	True	False	(-2, 7, 4, 1)	()	7	-2	minor	major	III	III, minor	#vii/ii	ii	ii/III	iv	True	#viio2/ii	#viio2/ii, major		#viio2/ii, major	ii	ii	viio7	#7	2	-1	-4	-2	3	-6	A	Gb	Ab	Bb	diminished seventh chord	3	True	False	True	True	True	-5	-2	-4	b7	True	False	True
266	2	66.5	69	3	A	0	1.0	1	True	2	2	2	1	1/4	True	-4	35	35	34	34a	4	133	False	True				False	85	#viio2/ii	f	III		#viio2/ii		#vii	o	2		ii	o7	True	False	(-2, 7, 4, 1)	()	7	-2	minor	major	III	III, minor	#vii/ii	ii	ii/III	iv	True	#viio2/ii	#viio2/ii, major		#viio2/ii, major	ii	ii	viio7	#7	2	-1	-4	-2	3	-6	A	Gb	Ab	Bb	diminished seventh chord	3	True	False	True	True	True	4	7	5	#1	True	True	False
