onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
774	2	193.5	52	4	E	0	2.5	0	False	3	8	2	1	1/16	True	1	24	67	22	22b	3	387/4	False	False					False	154		VIM7	e	iv		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	iv	iv, minor	VI		iv	iv	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	True	True	True	True	0	1	1	5	True	False	False
774	2	193.5	68	8	G	1	2.5	0	False	3	8	1	1	1/16	True	1	24	67	22	22b	4	387/4	False	False					False	154		VIM7	e	iv		VIM7	VI	M	7			MM7	True	True	(-4, 0, -3, 1)	()	-4	-4	minor	minor	iv	iv, minor	VI		iv	iv	True	VIM7	VIM7, minor		VIM7, minor		VI	VI7	6		4	3	3	-1	-1	F	F	A	A	major seventh chord	7	True	True	True	True	True	4	5	5	#7	False	False	False
776	0	194.0	68	8	G	1	3.0	3	True	3	8	1	1	0	True	1	24	67	22	22b	4	97	False	True					False	155		ii%43	e	iv		ii%43	ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	iv	iv, minor	ii		iv	iv	True	ii%43	ii%43, minor		ii%43, minor		ii	ii%7	2		4	3	3	5	-1	B	F	A	A	half-diminished seventh chord	2	True	True	True	True	True	4	5	5	#7	False	False	False
776	4	194.0	53	-1	F	0	3.0	3	True	3	8	2	1	1/8	True	1	24	67	22	22b	3	97	False	True					False	155		ii%43	e	iv		ii%43	ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	iv	iv, minor	ii		iv	iv	True	ii%43	ii%43, minor		ii%43, minor		ii	ii%7	2		4	3	3	5	-1	B	F	A	A	half-diminished seventh chord	2	True	True	True	True	True	-5	-4	-4	6	True	False	True
776	4	194.0	69	3	A	0	3.0	3	True	3	8	1	1	1/8	True	1	24	67	22	22b	4	97	False	True					False	155		ii%43	e	iv		ii%43	ii	%	43			%7	True	True	(-4, 0, 2, -1)	()	2	-4	minor	minor	iv	iv, minor	ii		iv	iv	True	ii%43	ii%43, minor		ii%43, minor		ii	ii%7	2		4	3	3	5	-1	B	F	A	A	half-diminished seventh chord	2	True	True	True	True	True	-1	0	0	1	True	False	False
780	4	195.0	50	2	D	0	1.0	1	True	3	8	2	1	1/8	True	1	25	68	23	23b	3	195/2	False	True					False	156		ii%65	e	iv		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	iv	iv, minor	ii		iv	iv	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		4	3	3	5	2	B	D	A	A	half-diminished seventh chord	1	True	True	True	True	True	-2	-1	-1	4	True	False	True
780	2	195.0	69	3	A	0	1.0	1	True	3	8	1	1	1/16	False	1	25	68	23	23b	4	195/2	False	True					False	156		ii%65	e	iv		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	iv	iv, minor	ii		iv	iv	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		4	3	3	5	2	B	D	A	A	half-diminished seventh chord	1	True	True	True	True	True	-1	0	0	1	True	False	False
782	2	195.5	71	5	B	0	1.5	0	False	3	8	1	1	1/16	True	1	25	68	23	23b	4	391/4	False	False					False	156		ii%65	e	iv		ii%65	ii	%	65			%7	True	True	(-1, -4, 0, 2)	()	2	-1	minor	minor	iv	iv, minor	ii		iv	iv	True	ii%65	ii%65, minor		ii%65, minor		ii	ii%7	2		4	3	3	5	2	B	D	A	A	half-diminished seventh chord	1	True	True	True	True	True	1	2	2	2	True	True	False
784	4	196.0	52	4	E	0	2.0	2	True	3	8	2	1	1/8	True	1	25	68	23	23b	3	98	False	True					False	157		V(4)	e	iv		V(4)	V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	iv	iv, minor	V		iv	iv	True	V	V, minor		V(4), minor		V	V	5		4	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	0	1	1	5	True	True	True
784	6	196.0	71	5	B	0	2.0	2	True	3	8	1	1	3/16	True	1	25	68	23	23b	4	98	False	True					False	157		V(4)	e	iv		V(4)	V			4		M	True	True	(1, 0, 2)	()	1	1	minor	minor	iv	iv, minor	V		iv	iv	True	V	V, minor		V(4), minor		V	V	5		4	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	1	2	2	2	True	False	False
