onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	cadence_subtype	phraseend	a_phraseend	unfolded_harmony_index	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
52	2	13.0	67	1	G	0	2.5	0	False	4	4	1	1	1/8	True	2	4	4	3	3a	4	13	False	False					False	13	ii	D	I		ii	ii					m	False	False	(2, -1, 3)	()	2	2	major	major	I	I, major	ii		I	I	False	ii	ii, major		ii, major		ii	ii	2		2	2	2	4	4	E	E	D	D	minor triad	0	True	True	True	True	True	-1	-1	-1	4	True	False	False
54	2	13.5	66	6	F	1	3.0	3	True	4	4	1	1	1/8	True	2	4	4	3	3a	4	27/2	False	True					False	14	vi(4)	D	I		vi(4)	vi			4		m	False	False	(3, 2, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi(4), major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	4	4	4	3	True	False	False
56	1	14.0	67	1	G	0	3.5	0	False	4	4	1	1	1/16	True	2	4	4	3	3a	4	14	False	False					False	14	vi(4)	D	I		vi(4)	vi			4		m	False	False	(3, 2, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi(4), major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	-1	-1	-1	4	False	False	False
57	1	14.25	69	3	A	0	3.75	0	False	4	4	1	1	1/16	True	2	4	4	3	3a	4	57/4	False	False					False	14	vi(4)	D	I		vi(4)	vi			4		m	False	False	(3, 2, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi(4), major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	1	1	1	5	False	False	False
58	4	14.5	62	2	D	0	4.0	4	True	4	4	2	1	1/4	True	2	4	4	3	3a	4	29/2	False	True					False	15	vi	D	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	0	0	0	1	True	False	False
58	2	14.5	71	5	B	0	4.0	4	True	4	4	1	1	1/8	True	2	4	4	3	3a	4	29/2	False	True					False	15	vi	D	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	3	3	3	6	True	True	True
60	2	15.0	69	3	A	0	4.5	0	False	4	4	1	1	1/8	True	2	4	4	3	3a	4	15	False	False					False	15	vi	D	I		vi	vi					m	False	False	(3, 0, 4)	()	3	3	major	major	I	I, major	vi		I	I	False	vi	vi, major		vi, major		vi	vi	6		2	2	2	5	5	B	B	D	D	minor triad	0	True	True	True	True	True	1	1	1	5	False	False	False
62	2	15.5	62	2	D	0	1.0	1	True	4	4	2	1	1/8	False	2	5	5	4	4a	4	31/2	False	True					False	16	V.V7	D	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		2	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	True	True	True	True	0	-1	-1	4	True	False	False
62	2	15.5	68	8	G	1	1.0	1	True	4	4	1	1	1/8	True	2	5	5	4	4a	4	31/2	False	True					False	16	V.V7	D	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		2	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	True	True	True	True	6	5	5	7	True	False	False
64	2	16.0	64	4	E	0	1.5	0	False	4	4	1	1	1/8	True	2	5	5	4	4a	4	16	False	False					False	16	V.V7	D	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		2	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	True	True	True	True	2	1	1	5	True	True	True
64	2	16.0	64	4	E	0	1.5	0	False	4	4	3	1	1/8	True	2	5	5	4	4a	4	16	False	False					False	16	V.V7	D	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		2	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	True	True	True	True	2	1	1	5	True	True	True
64	2	16.0	73	7	C	1	1.5	0	False	4	4	2	1	1/8	True	2	5	5	4	4a	5	16	False	False					False	16	V.V7	D	V		V7	V		7			Mm7	False	False	(1, 5, 2, -1)	()	1	1	major	major	V	V, major	V		V	V	False	V7	V7, major		V7, major		V	V7	5		2	3	3	4	4	E	E	A	A	dominant seventh chord	7	True	True	True	True	True	5	4	4	3	False	False	False
66	2	16.5	66	6	F	1	2.0	2	True	4	4	3	1	1/8	True	2	5	5	4	4a	4	33/2	False	True					False	17	ii43	D	V		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	V	V, major	ii		V	V	False	ii43	ii43, major		ii43, major		ii	ii7	2		2	3	3	5	6	B	F#	A	A	minor seventh chord	2	True	True	True	True	True	4	3	3	6	True	False	True
66	8	16.5	69	3	A	0	2.0	2	True	4	4	1	1	1/2	True	2	5	5	4	4a	4	33/2	False	True					False	17	ii43	D	V		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	V	V, major	ii		V	V	False	ii43	ii43, major		ii43, major		ii	ii7	2		2	3	3	5	6	B	F#	A	A	minor seventh chord	2	True	True	True	True	True	1	0	0	1	True	False	False
66	2	16.5	74	2	D	0	2.0	2	True	4	4	2	1	1/8	True	2	5	5	4	4a	5	33/2	False	True					False	17	ii43	D	V		ii43	ii		43			mm7	False	False	(3, 0, 2, -1)	()	2	3	major	major	V	V, major	ii		V	V	False	ii43	ii43, major		ii43, major		ii	ii7	2		2	3	3	5	6	B	F#	A	A	minor seventh chord	2	True	True	True	True	True	0	-1	-1	4	True	False	False
68	2	17.0	64	4	E	0	2.5	0	False	4	4	3	1	1/8	True	2	5	5	4	4a	4	17	False	True					False	18	I64	D	V		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	V	V, major	I		V	V	False	I64	I64, major		I64, major		I	I	1		2	3	3	3	4	A	E	A	A	major triad	2	True	True	True	True	True	2	1	1	5	True	False	True
68	2	17.0	73	7	C	1	2.5	0	False	4	4	2	1	1/8	True	2	5	5	4	4a	5	17	False	True					False	18	I64	D	V		I64	I		64			M	False	False	(1, 0, 4)	()	0	1	major	major	V	V, major	I		V	V	False	I64	I64, major		I64, major		I	I	1		2	3	3	3	4	A	E	A	A	major triad	2	True	True	True	True	True	5	4	4	3	True	False	False
70	2	17.5	62	2	D	0	3.0	3	True	4	4	3	1	1/8	True	2	5	5	4	4a	4	35/2	False	True					False	19	ii65	D	V		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	V	V, major	ii		V	V	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	3	3	5	2	B	D	A	A	minor seventh chord	1	True	True	True	True	True	0	-1	-1	4	True	False	True
70	4	17.5	71	5	B	0	3.0	3	True	4	4	2	1	1/4	True	2	5	5	4	4a	4	35/2	False	True					False	19	ii65	D	V		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	V	V, major	ii		V	V	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	3	3	5	2	B	D	A	A	minor seventh chord	1	True	True	True	True	True	3	2	2	2	True	True	False
72	2	18.0	59	5	B	0	3.5	0	False	4	4	3	1	1/8	True	2	5	5	4	4a	3	18	False	False					False	19	ii65	D	V		ii65	ii		65			mm7	False	False	(-1, 3, 0, 2)	()	2	-1	major	major	V	V, major	ii		V	V	False	ii65	ii65, major		ii65, major		ii	ii7	2		2	3	3	5	2	B	D	A	A	minor seventh chord	1	True	True	True	True	True	3	2	2	2	True	True	False
74	2	18.5	64	4	E	0	4.0	4	True	4	4	3	1	1/8	True	2	5	5	4	4a	4	37/2	False	True					False	20	V	D	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	V	5		2	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	2	1	1	5	True	True	True
74	4	18.5	68	8	G	1	4.0	4	True	4	4	1	1	1/4	True	2	5	5	4	4a	4	37/2	False	True					False	20	V	D	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	V	5		2	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	6	5	5	7	True	False	False
74	4	18.5	71	5	B	0	4.0	4	True	4	4	2	1	1/4	False	2	5	5	4	4a	4	37/2	False	True					False	20	V	D	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	V	5		2	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	3	2	2	2	True	False	False
76	2	19.0	62	2	D	0	4.5	0	False	4	4	3	1	1/8	True	2	5	5	4	4a	4	19	False	False					False	20	V	D	V		V	V					M	False	False	(1, 5, 2)	()	1	1	major	major	V	V, major	V		V	V	False	V	V, major		V, major		V	V	5		2	3	3	4	4	E	E	A	A	major triad	0	True	True	True	True	True	0	-1	-1	4	False	False	False
78	2	19.5	61	7	C	1	1.0	1	True	4	4	3	1	1/8	True	2	6	6	5	5a	4	39/2	False	True	EC	EC		}	True	21	I6|EC}	D	V		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	V	V, major	I		V	V	False	I6	I6, major		I6, major		I	I	1		2	3	3	3	7	A	C#	A	A	major triad	1	True	True	True	True	True	5	4	4	3	True	False	True
78	2	19.5	69	3	A	0	1.0	1	True	4	4	1	1	1/8	True	2	6	6	5	5a	4	39/2	False	True	EC	EC		}	True	21	I6|EC}	D	V		I6	I		6			M	False	False	(4, 1, 0)	()	0	4	major	major	V	V, major	I		V	V	False	I6	I6, major		I6, major		I	I	1		2	3	3	3	7	A	C#	A	A	major triad	1	True	True	True	True	True	1	0	0	1	True	True	False
