onset_div	duration_div	onset_beat	pitch	tpc	step	alter	beat_float	downbeat	is_downbeat	ts_beats	ts_beat_type	staff	voice	duration	is_note_onset	ks_fifths	mc	mc_playthrough	mn	mn_playthrough	octave	quarterbeats_playthrough	section_start	a_isOnset	cadence	cadence_type	phraseend	a_phraseend	unfolded_harmony_index	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	globalkey_mode	localkey_mode	localkey_resolved	localkey_and_mode	root_roman	relativeroot_resolved	effective_localkey	effective_localkey_resolved	effective_localkey_is_minor	chord_reduced	chord_reduced_and_mode	pedal_resolved	chord_and_mode	applied_to_numeral	numeral_or_applied_to_numeral	a_simpleNumeral	a_degree1	a_degree2	globalkey_tpc	localkey_tpc	tonicized_tpc	root_tpc	bass_note_tpc	a_root	a_bass	a_localKey	a_tonicizedKey	a_quality	a_inversion	valid_chord_label	valid_cadence_label	valid_phrase_label	valid_pedal_point_label	valid_section_start_label	sic_with_global	sic_with_local	sic_with_tonicized	note_degree	tpc_is_in_label	tpc_is_root	tpc_is_bass
9216	6	384.0	67	1	G	0	2.0	2	True	2	4	1	2	1/16	True	-3	193	193	192	192a	4	384	False	True				False	512	I		Eb	I	V	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	I	1		-3	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	False	True	True	True	4	4	4	3	True	False	False
9216	12	384.0	75	-3	E	-1	2.0	2	True	2	4	1	1	1/8	True	-3	193	193	192	192a	5	384	False	True				False	512	I		Eb	I	V	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	I	1		-3	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
9222	6	384.25	63	-3	E	-1	2.25	0	False	2	4	1	2	1/16	True	-3	193	193	192	192a	4	1537/4	False	False				False	512	I		Eb	I	V	I		I					M	False	False	(0, 4, 1)	()	0	0	major	major	I	I, major	I		I	I	False	I	I, major	V	I, major		I	I	1		-3	-3	-3	-3	-3	Eb	Eb	Eb	Eb	major triad	0	True	False	True	True	True	0	0	0	1	True	True	True
9228	12	384.5	58	-2	B	-1	2.5	0	False	2	4	2	1	1/8	True	-3	193	193	192	192a	3	769/2	False	True				False	513	viio6/V		Eb	I	V	viio6/V		vii	o	6		V	o	False	False	(3, 0, 6)	()	6	3	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major	V	viio6/V, major	V	V	viio	7	5	-3	-3	-2	3	0	A	C	Eb	Bb	diminished triad	1	True	False	True	True	True	1	1	0	5	False	False	False
9228	6	384.5	63	-3	E	-1	2.5	0	False	2	4	1	2	1/16	True	-3	193	193	192	192a	4	769/2	False	True				False	513	viio6/V		Eb	I	V	viio6/V		vii	o	6		V	o	False	False	(3, 0, 6)	()	6	3	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major	V	viio6/V, major	V	V	viio	7	5	-3	-3	-2	3	0	A	C	Eb	Bb	diminished triad	1	True	False	True	True	True	0	0	-1	1	True	False	False
9228	12	384.5	69	3	A	0	2.5	0	False	2	4	1	1	1/8	True	-3	193	193	192	192a	4	769/2	False	True				False	513	viio6/V		Eb	I	V	viio6/V		vii	o	6		V	o	False	False	(3, 0, 6)	()	6	3	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major	V	viio6/V, major	V	V	viio	7	5	-3	-3	-2	3	0	A	C	Eb	Bb	diminished triad	1	True	False	True	True	True	6	6	5	#4	True	True	False
9234	6	384.75	60	0	C	0	2.75	0	False	2	4	1	2	1/16	True	-3	193	193	192	192a	4	1539/4	False	False				False	513	viio6/V		Eb	I	V	viio6/V		vii	o	6		V	o	False	False	(3, 0, 6)	()	6	3	major	major	I	I, major	vii/V	V	V/I	V	False	viio6/V	viio6/V, major	V	viio6/V, major	V	V	viio	7	5	-3	-3	-2	3	0	A	C	Eb	Bb	diminished triad	1	True	False	True	True	True	3	3	2	6	True	False	True
9240	12	385.0	46	-2	B	-1	1.0	1	True	2	4	2	1	1/8	True	-3	194	194	193	193a	2	385	False	True				False	514	V		Eb	I	V	V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major	V	V, major		V	V	5		-3	-3	-3	-2	-2	Bb	Bb	Eb	Eb	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
9240	6	385.0	62	2	D	0	1.0	1	True	2	4	1	2	1/16	True	-3	194	194	193	193a	4	385	False	True				False	514	V		Eb	I	V	V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major	V	V, major		V	V	5		-3	-3	-3	-2	-2	Bb	Bb	Eb	Eb	major triad	0	True	False	True	True	True	5	5	5	7	True	False	False
9240	12	385.0	70	-2	B	-1	1.0	1	True	2	4	1	1	1/8	True	-3	194	194	193	193a	4	385	False	True				False	514	V		Eb	I	V	V		V					M	False	False	(1, 5, 2)	()	1	1	major	major	I	I, major	V		I	I	False	V	V, major	V	V, major		V	V	5		-3	-3	-3	-2	-2	Bb	Bb	Eb	Eb	major triad	0	True	False	True	True	True	1	1	1	5	True	True	True
